villaName,stars,roomType,photoLink,seasons,extrabed,honeymoonPackage,contractUntil
Nyanyi Sanctuary,4.0,One Bedroom Villa with Private Pool and Buthtub,https://bit.ly/NyanyiSanctuary,"{'normal': None, 'high': 900000, 'peak': 1500000}",550000,,1700000
Nyanyi Sanctuary,4.0,Two Bedroom Villa with Private Pool and Buthtub,,"{'normal': None, 'high': 1200000, 'peak': 1800000}",1900000,,2000000
Nyanyi Sanctuary,4.0,Three  Bedroom Villa with Private Pool and Buthtub,,"{'normal': None, 'high': 1800000, 'peak': 2400000}",2500000,,2600000
Ubud Raya Villa,4.0,Superior One Bedroom Pool Villa ,,"{'normal': 1600000, 'high': 1925000, 'peak': None}",,,2025-05-01 00:00:00
Ubud Raya Villa,4.0,Deluxe One Bedroom Pool Villa,,"{'normal': 1800000, 'high': 2125000, 'peak': None}",,,
Ubud Raya Villa,4.0,Two Bedroom Pool Villa,,"{'normal': 2800000, 'high': 3125000, 'peak': None}",,,
Ubud Raya Villa,4.0,Three Bedroom Pool Villa,,"{'normal': 3900000, 'high': 4225000, 'peak': None}",,,
Ubud Raya Villa,4.0,Superior One Bedroom Pool Villa ,,"{'normal': 1600000, 'high': 1925000, 'peak': None}",,,2025-06-01 00:00:00
Ubud Raya Villa,4.0,Deluxe One Bedroom Pool Villa,,"{'normal': 1800000, 'high': 2125000, 'peak': None}",,,
Ubud Raya Villa,4.0,Two Bedroom Pool Villa,,"{'normal': 2800000, 'high': 3125000, 'peak': None}",,,
Ubud Raya Villa,4.0,Three Bedroom Pool Villa,,"{'normal': 3900000, 'high': 4225000, 'peak': None}",,,
The Bali Dream Villa Seminyak,4.0,One Bedroom Villa with Private Pool ,https://drive.google.com/drive/folders/1ORwTnhb0U3POBl9Ws0pglBxB70tz1znh,"{'normal': 2315000, 'high': 2515000, 'peak': 2615000}",2715000,31 March 2026,490000
The Bali Dream Villa Seminyak,4.0,Two Bedroom Villa with Private Pool ,,"{'normal': 3515000, 'high': 3715000, 'peak': 3815000}",3915000,,
The Bali Dream Villa Seminyak,4.0,Three  Bedroom Villa with Private Pool ,,"{'normal': 4715000, 'high': 4915000, 'peak': 5015000}",5115000,,
The Bali Dream Villa Seminyak,4.0,Four Bedroom Villla with Private Pool,,"{'normal': 5915000, 'high': 6115000, 'peak': 6215000}",6315000,,
The Bali Dream Villa Seminyak,4.0,One Bedroom Villa with Private Pool ,,"{'normal': 2315000, 'high': 2515000, 'peak': 2615000}",2715000,31 March 2026,
The Bali Dream Villa Seminyak,4.0,Two Bedroom Villa with Private Pool ,,"{'normal': 3515000, 'high': 3715000, 'peak': 3815000}",3915000,,
The Bali Dream Villa Seminyak,4.0,Three  Bedroom Villa with Private Pool ,,"{'normal': 4715000, 'high': 4915000, 'peak': 5015000}",5115000,,
The Bali Dream Villa Seminyak,4.0,Four Bedroom Villla with Private Pool,,"{'normal': 5915000, 'high': 6115000, 'peak': 6215000}",6315000,,
S18 Bali Villa,5.0,One Bedroom Villa with Private Pool Villa,,"{'normal': 1850000, 'high': 2100000, 'peak': 2050000}",2200000,2023-03-31 00:00:00,350000
S18 Bali Villa,5.0,Two Bedroom Villa with Private Pool Villa,,"{'normal': 3350000, 'high': 3600000, 'peak': 3550000}",3700000,,
S18 Bali Villa,5.0,Three  Bedroom Villa with Private Pool Villa,,"{'normal': 4350000, 'high': 4600000, 'peak': 4550000}",4700000,,
Alam Puisi Villa Ubud,5.0,One Bedroom Villa Private Pool,https://drive.google.com/drive/folders/1upOxy1YsY2--5Ppg2eXiPumR5QHrMjWC?usp=sharing,"{'normal': 1350000, 'high': 1700000, 'peak': 1700000}",350000,,2023-03-31 00:00:00
